Trust_Event_Id,Frame_Id,Event_Id,Trustee,Trustor,Is_One_Hop,Event_Type,Has_Dropped,Has_Modified,MDR,MMR,Type_MMR,Type_MDR
105,6,13,8,6,1,1,0,0,0,0,0,0
106,6,13,8,9,1,1,0,0,0,0,0,0
107,6,13,8,26,1,1,0,0,0,0,0,0
108,6,13,28,1,1,1,0,0,0,0,0,0
109,6,13,28,6,1,1,0,0,0,0,0,0
110,6,13,28,9,1,1,0,0,0,0,0,0
111,6,13,28,26,1,1,0,0,0,0,0,0
112,6,13,5,1,0,1,0,0,0,0,0,0
113,6,13,5,6,0,1,0,0,0,0,0,0
114,6,13,5,9,0,1,0,0,0,0,0,0
115,6,13,5,26,0,1,0,0,0,0,0,0
116,6,14,34,5,1,3,0,1,0,11.1111111111111,11.1111111111111,0
117,6,14,34,39,1,3,0,0,0,11.1111111111111,11.1111111111111,0
118,6,14,5,4,1,3,0,0,0,0,0,0
119,6,14,5,8,1,3,0,0,0,0,0,0
120,6,14,5,28,1,3,0,0,0,0,0,0
121,6,14,34,4,0,3,0,0,0,11.1111111111111,11.1111111111111,0
122,6,14,34,8,0,3,0,0,0,11.1111111111111,11.1111111111111,0
123,6,14,34,28,0,3,0,0,0,11.1111111111111,11.1111111111111,0
124,7,15,5,4,1,1,0,0,0,0,0,0
125,7,15,5,8,1,1,0,0,0,0,0,0
126,7,15,5,28,1,1,0,0,0,0,0,0
127,7,15,5,34,1,1,0,0,0,0,0,0
128,7,15,5,39,1,1,0,0,0,0,0,0
129,7,15,8,6,1,1,0,0,0,0,0,0
130,7,15,8,9,1,1,0,0,0,0,0,0
131,7,15,8,26,1,1,0,0,0,0,0,0
132,7,15,28,6,1,1,0,0,0,0,0,0
133,7,15,28,9,1,1,0,0,0,0,0,0
134,7,15,28,26,1,1,0,0,0,0,0,0
135,7,15,5,6,0,1,0,0,0,0,0,0
136,7,15,5,9,0,1,0,0,0,0,0,0
137,7,15,5,26,0,1,0,0,0,0,0,0
138,7,16,34,5,1,3,0,0,0,7.14285714285714,7.14285714285714,0
139,7,16,34,39,1,3,0,0,0,7.14285714285714,7.14285714285714,0
140,7,16,5,4,1,3,0,0,0,0,0,0
141,7,16,5,8,1,3,0,0,0,0,0,0
142,7,16,5,28,1,3,0,0,0,0,0,0
143,7,16,34,4,0,3,0,0,0,7.14285714285714,7.14285714285714,0
144,7,16,34,8,0,3,0,0,0,7.14285714285714,7.14285714285714,0
145,7,16,34,28,0,3,0,0,0,7.14285714285714,7.14285714285714,0
146,8,17,5,4,1,1,1,0,16.6666666666667,0,0,16.6666666666667
147,8,17,5,8,1,1,1,0,16.6666666666667,0,0,16.6666666666667
148,8,17,5,12,1,1,1,0,16.6666666666667,0,0,16.6666666666667
149,8,17,5,28,1,1,1,0,16.6666666666667,0,0,16.6666666666667
150,8,17,5,34,1,1,1,0,16.6666666666667,0,0,16.6666666666667
151,8,17,5,39,1,1,1,0,16.6666666666667,0,0,16.6666666666667
152,8,17,8,6,1,1,0,0,0,0,0,0
153,8,17,8,9,1,1,0,0,0,0,0,0
154,8,17,8,26,1,1,0,0,0,0,0,0
155,8,17,28,6,1,1,0,0,0,7.14285714285714,0,0
156,8,17,28,9,1,1,0,0,0,7.14285714285714,0,0
157,8,17,28,26,1,1,0,0,0,7.14285714285714,0,0
158,8,17,5,6,0,1,1,0,16.6666666666667,0,0,16.6666666666667
159,8,17,5,9,0,1,1,0,16.6666666666667,0,0,16.6666666666667
160,8,17,5,26,0,1,1,0,16.6666666666667,0,0,16.6666666666667
161,8,18,5,4,1,3,1,0,16.6666666666667,0,0,25
162,8,18,5,8,1,3,1,0,16.6666666666667,0,0,25
163,8,18,5,12,1,3,1,0,16.6666666666667,0,0,25
164,8,18,5,28,1,3,1,0,16.6666666666667,0,0,25
165,8,18,5,34,1,3,1,0,16.6666666666667,0,0,25
166,8,18,5,39,1,3,1,0,16.6666666666667,0,0,25
167,8,18,8,6,1,3,0,0,0,0,0,0
168,8,18,8,9,1,3,0,0,0,0,0,0
169,8,18,8,26,1,3,0,0,0,0,0,0
170,8,18,28,6,1,3,0,0,0,7.14285714285714,25,0
171,8,18,28,9,1,3,0,1,0,7.14285714285714,25,0
172,8,18,28,26,1,3,0,0,0,7.14285714285714,25,0
173,8,18,5,6,0,3,1,0,16.6666666666667,0,0,25
174,8,18,5,9,0,3,1,0,16.6666666666667,0,0,25
175,8,18,5,26,0,3,1,0,16.6666666666667,0,0,25
176,8,19,8,4,1,3,0,0,0,0,0,0
177,8,19,8,5,1,3,0,0,0,0,0,0
178,8,19,8,6,1,3,0,0,0,0,0,0
179,8,19,8,9,1,3,0,0,0,0,0,0
180,8,19,8,26,1,3,0,0,0,0,0,0
181,8,19,8,28,1,3,0,0,0,0,0,0
182,8,19,5,12,1,3,1,0,16.6666666666667,0,0,25
183,8,19,5,34,1,3,1,0,16.6666666666667,0,0,25
184,8,19,5,39,1,3,1,0,16.6666666666667,0,0,25
185,8,19,6,1,1,3,0,0,0,0,0,0
186,8,19,9,1,1,3,0,0,0,0,0,0
187,8,19,9,11,1,3,0,0,0,0,0,0
188,8,19,26,1,1,3,0,0,0,0,0,0
189,8,19,26,11,1,3,0,0,0,0,0,0
190,8,19,8,1,0,3,0,0,0,0,0,0
191,8,19,8,11,0,3,0,0,0,0,0,0
192,8,19,8,12,0,3,0,0,0,0,0,0
193,8,19,8,34,0,3,0,0,0,0,0,0
194,8,19,8,39,0,3,0,0,0,0,0,0
195,9,20,5,4,1,1,0,0,14.2857142857143,0,0,14.2857142857143
196,9,20,5,8,1,1,0,0,14.2857142857143,0,0,14.2857142857143
197,9,20,5,12,1,1,0,0,14.2857142857143,0,0,14.2857142857143
198,9,20,5,28,1,1,0,0,14.2857142857143,0,0,14.2857142857143
199,9,20,5,34,1,1,0,0,14.2857142857143,0,0,14.2857142857143
200,9,20,5,39,1,1,0,0,14.2857142857143,0,0,14.2857142857143
201,9,20,8,6,1,1,0,0,0,0,0,0
202,9,20,8,9,1,1,0,0,0,0,0,0
203,9,20,8,26,1,1,0,0,0,0,0,0
204,9,20,28,6,1,1,0,0,0,5.26315789473684,0,0
205,9,20,28,9,1,1,0,0,0,5.26315789473684,0,0
206,9,20,28,26,1,1,0,0,0,5.26315789473684,0,0
207,9,20,5,6,0,1,0,0,14.2857142857143,0,0,14.2857142857143
208,9,20,5,9,0,1,0,0,14.2857142857143,0,0,14.2857142857143
209,9,20,5,26,0,1,0,0,14.2857142857143,0,0,14.2857142857143
210,9,21,8,4,1,3,0,0,0,0,0,0
211,9,21,8,5,1,3,0,0,0,0,0,0
